"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","psychedelics_soc_english","fullscreen","0","2071","0.0-0.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","3075","0.0-1.0","Shakira","Sam","1280","713","true","chrome","123.0.0","false","Mac OS","true","60.08","true","true","19/04/2024","11:54:08","713","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","21870","0.0-2.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","18793","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires are about your daily psychological functioning, and the tasks are two games to measure your association skills and sensitivity to visual illusions.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable to us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> You can also refuse to partake without any justification and with absolutely no consequences.</p><p align='left'>If you don't want to participate, or if you want to leave the study, you can simply close your browser.</p><p align='left'>The entire study takes approximately 40 minutes, with questionnaires in between parts of the tasks. Please, stay focused until the screen confirming that your data are saved appears.</p><p align='left'><br><sub><sup>If you have any questions regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","35754","0.0-3.0-0.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","13881","","{""sex"":""Female"",""student"":""Yes"",""education"":""University (doctorate)"",""language"":""Native""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","42520","0.0-3.0-1.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","6759","","{""age"":""25"",""country"":""UK""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","47003","0.0-4.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","4481","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","6","52521","0.0-5.0-0.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","5514","","{""Q0"":""depression, anxiety""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","57786","0.0-6.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","5264","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","62021","0.0-7.0-0.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","4230","","{""Q0"":""depression, anxiety""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","9","65136","0.0-8.0","Shakira","Sam","","","","","","","","","","","","","","","","","","","","","3113","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
