"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","control","fullscreen","0","9745","0.0-0.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","10795","0.0-1.0","Pink","Mathilde","1536","746","true","edge-chromium","124.0.0","false","Windows 10","true","57.49","true","true","28/04/2024","18:04:06","746","1536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","15042","0.0-2.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","4244","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consentement éclairé</h1><p align='left'>Dans cette étude, vous allez devoir compléter deux tâches sous forme de jeux pour mesurer (i) <b>vos capacités d'associations</b> et (ii) votre <b>sensibilité aux illusions visuelles</b>.</p><p align='left'>Vous aurez aussi à compléter deux questionnaires à propos de <b>votre fonctionnement psychologique</b>.</p><p align='left'>L'étude dure environ 40 minutes au total. Nous vous demandons de veiller à bien rester concentré(e) et à fournir des réponses authentiques.</p><p align='left'>Les jeux se déroulent en plusieurs parties et sont entrecoupés de questionnaires, c'est normal, merci de poursuivre l'étude jusqu'à l'écran confirmant l'enregistrement de vos données.</p><p align='left'>Votre participation à cette recherche est confidentielle. <b>Vos réponses seront totalement anonymisées</b>, et votre adresse IP ni aucune autres informations identifiantes ne sont collectées.</p><p align='left'>Vos données sont essentielles pour nous. Elles contribuent aux avancées scientifiques. <b>En participant, vous acceptez de suivre les instructions et de fournir des réponses honnêtes.</b> Si vous ne souhaitez pas participer à cette étude, vous pouvez simplement fermer votre navigateur.</p><p align='left'>Vous avez également le droit de vous retirer de l'étude à n'importe quel moment, pour cela, vous pouvez simplement fermer votre navigateur web.</p><p align='left'><br><sub><sup>Si vous avez des questions sur le projet, veuillez contacter Baptiste Fauvel (baptiste.fauvel@u-paris.fr). Cette étude a été expertisée et validée par le comité d'éthique de l'université de Paris Cité.</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","22624","0.0-3.0-0.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","7578","","{""sex"":""Femme"",""student"":""Non"",""education"":""Université (master) <sub><sup>ou équivalent</sup></sub>"",""language"":""Langue maternelle""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","29725","0.0-3.0-1.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","7092","","{""age"":""26""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","32948","0.0-4.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","3221","<p style=""font-size:18px; color:black;"">Avez-vous <b>déjà</b> été diagnostiqué(e) pour une des pathologies suivantes ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","6","39727","0.0-5.0-0.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","6775","","{""Q0"":""anxiété sociale""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","45274","0.0-6.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","5545","<p style=""font-size:18px; color:black;"">Etes-vous <b>en ce moment</b> diagnostiqué(e) pour une des pathologies suivantes?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","49132","0.0-7.0-0.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","3855","","{""Q0"":""anxiété sociale""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","9","50651","0.0-8.0","Pink","Mathilde","","","","","","","","","","","","","","","","","","","","","1517","<p style=""font-size:18px; color:black;"">Méditez-vous régulièrement? E.g. au moins une fois par semaine</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
