"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","control_T0","fullscreen","0","3419","0.0-0.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","4421","0.0-1.0","Madonna","Alona","1280","598","true","chrome","122.0.0","false","Windows 10","true","60.11","true","true","26/03/2024","15:51:09","598","1280","","","65f00ba551cfa8c040924ca7","65e72b0a27a1d8bd15a851fe","6602d2b0d0dc5902be723aea","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","18365","0.0-2.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","13943","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>Questionnaires are about your daily psychological functionning. Tasks are two games to measure your association skills and sensitivity to visual illusions.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable for us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> You can also refuse to partake without any justification and with absolutely no consequence on your retreat and your relationship with the center's therapists.</p><p align='left'>If you don't want to participate, or if you want to leave the study, you can simply close your browser.</p><p align='left'>The entire study takes approximately 40 minutes, with questionnaires in between parts of the tasks. Please, stay focus until the screen confirming that your data are saved.</p><p align='left'><br><sub><sup>If you have any question regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","27784","0.0-3.0-0.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","9418","","{""sex"":""Female"",""student"":""No"",""education"":""University (masters) <sub><sup>or equivalent</sup></sub>"",""language"":""Fluent""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","32433","0.0-3.0-1.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","4645","","{""age"":""35"",""country"":""Israel""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","36777","0.0-4.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","4343","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","40535","0.0-6.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","3757","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","43144","0.0-8.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","2608","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","8","45877","0.0-10.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","2732","<p style=""font-size:18px; color:black;"">Have you taken a psychedelic <b>during the last month</b>? (E.g. LSD, psilocybin mushrooms, ayahuasca)</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","9","50602","0.0-11.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","4723","","{""psych_freq_english"":""Never""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","preload","10","50848","0.0-12.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_general","","html-button-response","11","60307","0.0-13.0","Madonna","Alona","","","","","","","","","","","","","","","","","","","","","9459","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
