"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","control_T0","fullscreen","0","1792","0.0-0.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","2796","0.0-1.0","Eminem","Kuba","1879","931","true","opera","107.0.0","false","Windows 10","true","59.93","false","true","20/03/2024","14:48:51","931","1879","","","602c4384d05505501fcc504e","65e72b0a27a1d8bd15a851fe","65fae8f2325fbe99b9a2b14b","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","3787","0.0-2.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","989","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable for us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> If you don't want to participate, you can simply close your browser.</p><p align='left'><br><sub><sup>If you have any question regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","10682","0.0-3.0-0.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","6894","","{""sex"":""Male"",""student"":""Yes"",""education"":""High school"",""language"":""fluent""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","17171","0.0-3.0-1.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","6485","","{""age"":""20"",""country"":""Poland""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","25764","0.0-4.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","8593","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","6","27252","0.0-5.0-0.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","1487","","{""Q0"":""substance use disorder""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","30030","0.0-6.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","2778","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","31202","0.0-7.0-0.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","1171","","{""Q0"":""substance use disorder""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","9","35004","0.0-8.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","3802","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","10","42449","0.0-9.0-0.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","7444","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","11","51558","0.0-9.0-1.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","9108","","{""Q0"":""24""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","12","61131","0.0-9.0-2.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","9571","","{""Q0"":""15""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-select","13","70559","0.0-9.0-3.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","9426","","{""medTrad"":[""Other""]}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","14","75465","0.0-10.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","4904","<p style=""font-size:18px; color:black;"">Have you taken a psychedelic drug in the last 6 months? (E.g. LSD, psilocybin mushrooms, ayahuasca)</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","15","85059","0.0-11.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","9593","","{""psych_freq_english"":""One time""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","preload","16","85202","0.0-12.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_general","","html-button-response","17","102245","0.0-13.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","17041","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_strangerlabel","","survey-multi-choice","18","121127","0.0-14.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","18881","","{""label_stranger"":""Eminem""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_friendlabel","","survey-text","19","134747","0.0-15.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","13617","","{""label_friend"":""Kuba""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_practice","","html-button-response","20","206396","0.0-16.0","Eminem","Kuba","","","","","","","","","","","","","","","","","","","","","71649","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
