"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","control_T0","fullscreen","0","9319","0.0-0.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","10313","0.0-1.0","Sting","Evan","1366","681","true","firefox","123.0.0","false","Windows 10","true","61.73","true","true","19/03/2024","08:54:19","681","1366","","","653a002c3aa5113d4d67dcac","65e72b0a27a1d8bd15a851fe","65f9368839144b1e5619406f","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","56605","0.0-2.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","46286","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable for us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> If you don't want to participate, you can simply close your browser.</p><p align='left'><br><sub><sup>If you have any question regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","74590","0.0-3.0-0.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","17984","","{""sex"":""Male"",""student"":""Yes"",""education"":""University (bachelor) <sub><sup>or equivalent</sup></sub>"",""language"":""fluent""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","88153","0.0-3.0-1.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","13558","","{""age"":""22"",""country"":""South Africa""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","99758","0.0-4.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","11603","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","104503","0.0-6.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","4744","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","110392","0.0-8.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","5887","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","130529","0.0-9.0-0.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","20135","","{""Q0"":""7""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","9","199566","0.0-9.0-1.0","Sting","Evan","","","","","","","","","","","","","","","","","","","","","69035","","{""Q0"":""7""}","","","","","","","","","","","","","","","","","","","","","","","","",""
