"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","psychedelic_society","fullscreen","0","2989","0.0-0.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","4016","0.0-1.0","Rihanna","Céline","1366","641","true","chrome","123.0.0","false","Windows 10","true","60.35","true","true","14/04/2024","18:34:56","641","1366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","6658","0.0-2.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","2637","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consentement éclairé</h1><p align='left'>Dans cette étude, vous allez devoir compléter deux tâches sous forme de jeux pour mesurer (i) <b>vos capacités d'associations</b> et (ii) votre <b>sensibilité aux illusions visuelles</b>.</p><p align='left'>Vous aurez aussi à compléter trois questionnaires à propos de (i) <b>votre fonctionnement psychologique</b> et (ii) votre <b>dernière expérience avec une substance psychédélique classique</b>.</p><p align='left'>L'étude dure environ 40 minutes au total. Nous vous demandons de veiller à bien rester concentré(e) et à fournir des réponses authentiques.</p><p align='left'>Les jeux se déroulent en plusieurs parties et sont entrecoupés de questionnaires, c'est normal, merci de poursuivre l'étude jusqu'à l'écran confirmant l'enregistrement de vos données.</p><p align='left'>Votre participation à cette recherche est confidentielle. <b>Vos réponses seront totalement anonymisées</b>, et votre adresse IP ni aucune autres informations identifiantes ne sont collectées.</p><p align='left'>Vos données sont essentielles pour nous. Elles contribuent aux avancées scientifiques sur les thérapies-assistées par psychédéliques. <b>En participant, vous acceptez de suivre les instructions et de fournir des réponses honnêtes.</b> Si vous ne souhaitez pas participer à cette étude, vous pouvez simplement fermer votre navigateur.</p><p align='left'>Vous avez également le droit de vous retirer de l'étude à n'importe quel moment, pour cela, vous pouvez simplement fermer votre navigateur web.</p><p align='left'><br><sub><sup>Si vous avez des questions sur le projet, veuillez contacter Baptiste Fauvel (baptiste.fauvel@u-paris.fr). Cette étude a été expertisée et validée par le comité d'éthique de l'université Paris Cité.</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","14513","0.0-3.0-0.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","7846","","{""sex"":""Femme"",""student"":""Non"",""education"":""Université (master) <sub><sup>ou équivalent</sup></sub>"",""language"":""Langue maternelle""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","18215","0.0-3.0-1.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","3678","","{""age"":""47""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","20317","0.0-4.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","2098","<p style=""font-size:18px; color:black;"">Avez-vous <b>déjà</b> été diagnostiqué(e) pour une des pathologies suivantes ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","21403","0.0-6.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","1081","<p style=""font-size:18px; color:black;"">Etes-vous <b>en ce moment</b> diagnostiqué(e) pour une des pathologies suivantes?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","23669","0.0-8.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","2259","<p style=""font-size:18px; color:black;"">Méditez-vous régulièrement? E.g. au moins une fois par semaine</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","8","29303","0.0-10.0-0.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","5626","","{""psych_freq"":""Entre 6 et 10 fois""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","9","32902","0.0-10.0-1.0","Rihanna","Céline","","","","","","","","","","","","","","","","","","","","","3588","<p style=""font-size:18px; color:black;"">Avez-vous consommé une substance psychédélique classique (e.g., LSD, champignons à psilocybe, ayahuasca) <b>au cours du dernier mois</b> ?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
