"success","screen","group","trial_type","trial_index","time_elapsed","internal_node_id","label_stranger","label_friend","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","date","time","screen_height","screen_width","researcher","sona_id","prolific_id","study_id","session_id","rt","stimulus","response","question_order","timeout","failed_images","failed_audio","failed_video","trial_duration","shape","trial_number","answer","answer_correct","correct","condition","label_condition","block_number","file","block","correct_response","Illusion_Type","Illusion_Strength","Illusion_Difference","isi","fixation_cross","type","illusion_strength","illusion_difference"
"true","fullscreen","control_T0","fullscreen","0","5889","0.0-0.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser_info","","browser-check","1","7153","0.0-1.0","Eminem","Maurice","1366","607","true","chrome","122.0.0","false","Windows 10","true","47.99","true","true","18/03/2024","09:03:05","607","1366","","","60ff2010c4d8a3dee5d3d393","65e72b0a27a1d8bd15a851fe","65f7e71baa9026db59ec786e","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","consent","","html-button-response","2","14185","0.0-2.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","7029","<img src='https://u-paris.fr/wp-content/uploads/2022/03/Universite_Paris-Cite-logo.jpeg' width='300px' align='right'/><br><br><br><br><br><h1>Consent form</h1><p align='left'>In this study, you will have to complete two questionnaires and two tasks.</p><p align='left'>The questionnaires and tasks must be completed alone. <b>Your participation is confidential and your answers will be anonymized.</b> We do not collect your IP address or any other identifying information.</p><p align='left'>Your data are very valuable for us. In participating, you will contribute to scientific progress. <b>In participating, you accept to follow the instructions and to supply honest answers.</b> If you don't want to participate, you can simply close your browser.</p><p align='left'><br><sub><sup>If you have any question regarding the study, you can email Baptiste Fauvel (baptiste.fauvel@u-paris.fr). This study has been reviewed and approved by the ethical committee of the University of Paris .</sup></sub></p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_1","","survey-multi-choice","3","34979","0.0-3.0-0.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","20791","","{""sex"":""Male"",""student"":""No"",""education"":""University (bachelor) <sub><sup>or equivalent</sup></sub>"",""language"":""fluent""}","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","",""
"","demographics_2","","survey-text","4","55867","0.0-3.0-1.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","20881","","{""age"":""32"",""country"":""South Africa""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","5","67352","0.0-4.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","11483","<p style=""font-size:18px; color:black;"">Have you <b>ever</b> been diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","6","112222","0.0-6.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","44866","<p style=""font-size:18px; color:black;"">Are you <b>currently</b> diagnosed with any of the following pathologies ?</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","7","117142","0.0-8.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","4918","<p style=""font-size:18px; color:black;"">Do you meditate regularly? E.g. at least once a week?</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","8","131229","0.0-9.0-0.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","14084","","{""Q0"":""2""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","9","156314","0.0-9.0-1.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","25080","","{""Q0"":""36""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-text","10","163680","0.0-9.0-2.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","7361","","{""Q0"":""10""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-select","11","188606","0.0-9.0-3.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","24921","","{""medTrad"":[""Tibetan Buddhism"",""Mindfulness""]}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-button-response","12","193572","0.0-10.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","4959","<p style=""font-size:18px; color:black;"">Have you taken a psychedelic drug in the last 6 months? (E.g. LSD, psilocybin mushrooms, ayahuasca)</p>","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","13","208573","0.0-11.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","14999","","{""psych_freq_english"":""One time""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","preload","14","208835","0.0-12.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","","","","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_general","","html-button-response","15","230341","0.0-13.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","21504","<h1>Shape-Label Association Game</h1><p>In this task, you will be shown some <b>shapes</b> that will be assigned to a <b>label</b> (You, Your Best Friend and a Stranger).</p><p>To personalize this game to your own experience, you will first select who you want the friend and the stranger to be.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_strangerlabel","","survey-multi-choice","16","244393","0.0-14.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","14049","","{""label_stranger"":""Eminem""}","[0]","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_friendlabel","","survey-text","17","272496","0.0-15.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","28094","","{""label_friend"":""Maurice""}","","","","","","","","","","","","","","","","","","","","","","","","",""
"","SAT_instructions_practice","","html-button-response","18","338444","0.0-16.0","Eminem","Maurice","","","","","","","","","","","","","","","","","","","","","65946","<h1>Practice</h1><p>Each label (i.e., You, Best Friend, Stranger) will be assigned to a specific shape (circle, square or triangle)</p><p>During the practice phase, you will be presented with one of the shapes above a fixation cross, together with the three labels below the fixation cross.</p><p>Your task is to select the label that corresponds with the presented shape as quickly and accurately as possible</p><p>If the correct label is on the <b>left</b>, press <b>'v'</b>.</p><p>If the correct label is in the <b>middle</b>, press <b>'b'</b>.</p><p>If the correct label is on the <b>right</b>, press <b>'n'</b>.</p><br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
